priority,product_title,handle,tc_reference,mature_reference,google_searches_needed
P1,Alocasia Silver Dragon Albo Variegated,alocasia-silver-dragon-albo-variegated-pre-order,on-site,on-site,0
P1,Anthurium Forgetii Variegated,anthurium-forgetii-variegated-pre-order,on-site,on-site,0
P1,Anthurium KOS Hybrid x Crystallinum Crackin Veins,anthurium-kos-hybrid-x-crystallinum-crackin-veins-pre-order,on-site,on-site,0
P1,Anthurium AOS X Papi Variegated,anthurium-aos-x-papi-variegated-pre-order,on-site,SEARCH,1
P1,Alocasia Plumbea Flying Squid,alocasia-plumbea-flying-squid-pre-order,on-site,on-site,0
P1,Anthurium Vittarifolium Variegated,anthurium-vittarifolium-variegated-pre-order,on-site,on-site,0
P1,Alocasia Nobilis Aurea Variegated,alocasia-nobilis-aurea-variegated-pre-order,on-site,on-site,0
P1,Alocasia Longiloba Suhirmaniana Aurea Variegated,alocasia-longiloba-suhirmaniana-aurea-variegated-pre-order,on-site,on-site,0
P1,Alocasia Polly Lava Variegated,alocasia-polly-lava-variegated-pre-order,on-site,SEARCH,1
P1,Alocasia Black Velvet Snowflake Pink Variegated,alocasia-black-velvet-snowflake-pink-variegated-pre-order,on-site,SEARCH,1
P1,Alocasia Golden Bone Mint Variegated,alocasia-golden-bone-mint-variegated-pre-order,on-site,on-site,0
P1,Anthurium Red Crystallinum X Dorayaki,anthurium-red-crystallinum-x-dorayaki-pre-order,on-site,on-site,0
P1,Anthurium Sp Napo,anthurium-sp-napo-pre-order,on-site,on-site,0
P1,Alocasia Regal Shields Albo Variegated,alocasia-regal-shields-albo-variegated-pre-order,on-site,on-site,0
P1,Anthurium David Portilla Dreams,anthurium-david-portilla-dreams-pre-order,on-site,on-site,0
P1,Alocasia Watsoniana Doff Albo Variegated,alocasia-watsoniana-doff-albo-variegated-pre-order,on-site,on-site,0
P1,Philodendron Lynamii,philodendron-lynamii-pre-order,on-site,on-site,0
P1,Alocasia Cuprea Aurea Variegated Latte,alocasia-cuprea-aurea-variegated-latte-pre-order,on-site,on-site,0
P1,Anthurium Crystallinum X Dorayaki,anthurium-crystallinum-x-dorayaki-pre-order,on-site,SEARCH,1
P1,Philodendron White Knight Tricolor Variegated,philodendron-white-knight-tricolor-variegated-pre-order,SEARCH,on-site,1
P1,Anthurium Clarinervium × Dorayaki,anthurium-clarinervium-dorayaki-pre-order,on-site,SEARCH,1
P1,Anthurium King of Clarinervium X Silver Tiger,anthurium-king-of-clarinervium-x-silver-tiger-pre-order,on-site,on-site,0
P1,Alocasia Olanii,alocasia-olanii-pre-order,on-site,on-site,0
P1,Anthurium Delta Force,anthurium-delta-force-pre-order,on-site,on-site,0
P1,Alocasia Nairobi Nights Camouflage Tricolor Variegated,alocasia-nairobi-nights-camouflage-tricolor-variegated-pre-order,on-site,on-site,0
P1,Alocasia Polly Stardust Lava Variegated,alocasia-polly-stardust-lava-variegated-pre-order,on-site,SEARCH,1
P1,Alocasia Longiloba Sp. Aurea Variegated,alocasia-longiloba-sp-aurea-variegated-pre-order,on-site,on-site,0
P1,Anthurium Forgetii,anthurium-forgetii-pre-order,SEARCH,on-site,1
P1,Anthurium Papillilaminum,anthurium-papillilaminum-pre-order,on-site,on-site,0
P1,Alocasia Bisma Platinum Albo Variegated,alocasia-bisma-platinum-albo-variegated-pre-order,SEARCH,on-site,1
P1,Alocasia Bambino Pink Lava Variegated,alocasia-bambino-pink-lava-variegated-pre-order,on-site,on-site,0
P1,Alocasia Cucullata Mint Variegated,alocasia-cucullata-mint-variegated-pre-order,on-site,on-site,0
P1,Alocasia Dragon Scale Albo Ultra Variegated,alocasia-dragon-scale-albo-ultra-variegated-pre-order,on-site,on-site,0
P1,Alocasia Freckle Ninja Variegated,alocasia-freckle-ninja-variegated-pre-order,on-site,on-site,0
P1,Philodendron Sunspot,philodendron-sunspot-pre-order,SEARCH,on-site,1
P1,Anthurium Black Magic (Black Velvet X AOS),anthurium-black-magic-black-velvet-x-aos-pre-order,on-site,on-site,0
P1,Alocasia Macrorrhizos Aurea Variegated,alocasia-macrorrhizos-aurea-variegated-pre-order,on-site,on-site,0
P1,Philodendron Green Lemon,philodendron-green-lemon-pre-order,on-site,on-site,0
P1,Anthurium Manta Ray X Dark Phoenix,anthurium-manta-ray-x-dark-phoenix-pre-order,on-site,on-site,0
P1,Alocasia Ninja Aurea Variegated,alocasia-ninja-aurea-variegated-pre-order,on-site,on-site,0
P1,Alocasia Scalprum Mint Variegated,alocasia-scalprum-mint-variegated-pre-order,on-site,on-site,0
P1,Alocasia Nebula Mint Variegated,alocasia-nebula-mint-variegated-pre-order,on-site,on-site,0
P1,Anthurium Magnificum x Forgetii Variegated,anthurium-magnificum-x-forgetii-variegated-pre-order,on-site,on-site,0
P1,Anthurium Tezula Red Crystallinum x Starlight,anthurium-tezula-red-crystallinum-x-starlight-pre-order,on-site,SEARCH,1
P1,Alocasia Green Bambino Albo Variegated,alocasia-green-bambino-albo-variegated-pre-order,on-site,on-site,0
P1,Alocasia Polly Ghost Mint Variegated,alocasia-polly-ghost-mint-variegated-pre-order,on-site,on-site,0
P1,Alocasia Sabrina Narrow Mint Variegated,alocasia-sabrina-narrow-mint-variegated-pre-order,on-site,on-site,0
P1,Alocasia Polly Aurea Variegated,alocasia-polly-aurea-variegated-pre-order,on-site,on-site,0
P1,Alocasia Polly Mint Variegated,alocasia-polly-mint-variegated-pre-order,on-site,SEARCH,1
P1,Alocasia Shattered Glass,alocasia-shattered-glass-pre-order,on-site,on-site,0
P1,Anthurium Black Velvet,anthurium-black-velvet-pre-order,on-site,SEARCH,1
P1,Anthurium Bonplandii Narrow Pink Variegated,anthurium-bonplandii-narrow-pink-variegated-pre-order,on-site,on-site,0
P1,Anthurium Luxurians Aurea Variegated,anthurium-luxurians-aurea-variegated-pre-order,on-site,on-site,0
P1,Anthurium Ace of Spades,anthurium-ace-of-spades-pre-order,on-site,on-site,0
P1,Anthurium Magnificum x Crystallinum Dark Form Variegated,anthurium-magnificum-x-crystallinum-dark-form-variegated-pre-order,on-site,on-site,0
P1,Anthurium Luxurians,anthurium-luxurians-pre-order,on-site,on-site,0
P1,Anthurium Red Crystallinum × Wonderboy,anthurium-red-crystallinum-wonderboy-pre-order,on-site,on-site,0
P1,Anthurium Red Crystallinum × Michelle,anthurium-red-crystallinum-michelle-pre-order,on-site,on-site,0
P1,Alocasia Nairobi Nights Variegated A Grade,alocasia-nairobi-nights-variegated-a-grade-pre-order,on-site,on-site,0
P1,Anthurium Vittarifolium,anthurium-vittarifolium-pre-order,on-site,on-site,0
P1,Alocasia Watsoniana Glossy Aurea Variegated,alocasia-watsoniana-glossy-aurea-variegated-pre-order,on-site,on-site,0
P1,Alocasia Heterophylla Metallic Blue Aurea Variegated,alocasia-heterophylla-metallic-blue-aurea-variegated-pre-order,on-site,on-site,0
P1,Alocasia Maharani Gold Variegated,alocasia-maharani-gold-variegated-pre-order,on-site,on-site,0
P1,Anthurium Clarinervium Variegated,anthurium-clarinervium-variegated-pre-order,on-site,on-site,0
P1,Anthurium Dark Phoenix Mint Variegated,anthurium-dark-phoenix-mint-variegated-pre-order,on-site,on-site,0
P2,Monstera Obliqua Peru,monstera-obliqua-peru,on-site,on-site,0
P2,Philodendron Florida Beauty,philodendron-florida-beauty,on-site,on-site,0
